CF-Recovery,HR@10,Model,NDCG@10,Oracle-Gap-Capture,Seed,Semantic-Retention,cf_only,oracle_HR@10,semantic_only
,0.5008719760318383,StaticFusion,0.299724965499033,,2024,,,,
0.0018165304268846503,0.5050753476724947,UserGate,0.30049441942152416,-0.00363306085376919,2024,0.9988599348534202,,,
0.11807447774750227,0.5018110271430488,ItemGate,0.3063018658573806,-0.06993642143505803,2024,0.9211726384364821,,,
0.0,0.5052542145508205,UserTargetGate,0.30055188469261135,0.0,2024,1.0,,,
0.22797456857402362,0.509457586191477,EventGate-NoTeacher,0.3134637461487957,0.08537693006357822,2024,0.8587947882736157,1101,0.5544873228099987,6140
0.39872842870118075,0.507981934445289,CER-Rec Multi-prefix,0.3097928438269053,0.05540417801998128,2024,0.8552117263843648,1101,0.5544873228099987,6140
,0.507177033492823,StaticFusion,0.3061956762405451,,2025,,,,
0.0038910505836575876,0.5080266511648706,UserGate,0.3053738640869144,0.003112840466925977,2025,0.99859375,,,
0.09571984435797666,0.50677458301659,ItemGate,0.31164089734989797,-0.01867704280155586,2025,0.934375,,,
0.0,0.5078477842865448,UserTargetGate,0.3052454145628261,0.0,2025,1.0,,,
0.0980544747081712,0.5128560568796673,EventGate-NoTeacher,0.3082941721603926,0.08715953307392928,2025,0.95953125,1285,0.56530876894871,6400
0.41867704280155643,0.514018691588785,CER-Rec Multi-prefix,0.3177899810616859,0.10739299610894813,2025,0.8403125,1285,0.56530876894871,6400
,0.49818897285695124,StaticFusion,0.2978058316766329,,2026,,,,
0.005681818181818182,0.5013638599472343,UserGate,0.29869002292019176,0.0,2026,0.9975433999344907,,,
0.10146103896103896,0.49707105486741493,ItemGate,0.3035009007986953,-0.07792207792207875,2026,0.9253193580085162,,,
0.09172077922077922,0.4956848365603899,UserTargetGate,0.304471997960234,-0.10308441558441671,2026,0.9045201441205372,,,
0.22077922077922077,0.5031972454500738,EventGate-NoTeacher,0.31034843468148354,0.033279220779220846,2026,0.8544055027841467,1232,0.5564548584715825,6106
0.387987012987013,0.5044493135983544,CER-Rec Multi-prefix,0.308756383814508,0.056006493506492935,2026,0.8450704225352113,1232,0.5564548584715825,6106
0.3246753246753247,0.4987702902115101,Teacher single-prefix lambda=0.1,0.3052225932801987,-0.04707792207792277,2026,0.8463806092368162,1232,0.5564548584715825,6106
0.31412337662337664,0.5040021464025399,Teacher single-prefix lambda=0.3,0.3034993717882346,0.047889610389610045,2026,0.8848673435964625,1232,0.5564548584715825,6106
0.37337662337662336,0.5020793274605375,Teacher single-prefix lambda=1.0,0.29997562167053615,0.01298701298701262,2026,0.8735669832951195,1232,0.5564548584715825,6106
0.4017857142857143,0.5033313956088181,Teacher multi-prefix early,0.308680027671869,0.035714285714284706,2026,0.8383557156894857,1232,0.5564548584715825,6106
0.3538961038961039,0.49724992174574073,WarmStart Teacher,0.3039462866382964,-0.07467532467532559,2026,0.8457255158860137,1232,0.5564548584715825,6106
